Annotation,Time,Scale,Frame
,1.0623,(1 1 1),214
,1.0655,(1 1 1),215
,1.0681,(1 1 1),216
,1.0709,(1 1 1),217
,1.0735,(1 1 1),218
,1.0761,(1 1 1),219
,1.0786,(1 1 1),220
,1.0811,(1 1 1),221
,1.0842,(1 1 1),222
,1.0867,(1 1 1),223
,1.0892,(1 1 1),224
,1.0919,(1 1 1),225
,1.0946,(1 1 1),226
,1.0972,(1 1 1),227
,1.1,(1 1 1),228
,1.1026,(1 1 1),229
,1.1056,(1 1 1),230
,1.1086,(1 1 1),231
,1.1114,(1 1 1),232
,1.1139,(1 1 1),233
,1.1165,(1 1 1),234
,1.119,(1 1 1),235
,1.1215,(1 1 1),236
,1.1242,(1 1 1),237
,1.1282,(1 1 1),238
,1.1307,(1 1 1),239
,1.1334,(1 1 1),240
,1.136,(1 1 1),241
,1.1401,(1 1 1),242
,1.1428,(1 1 1),243
,1.1455,(1 1 1),244
,1.1481,(1 1 1),245
,1.1508,(1 1 1),246
,1.1534,(1 1 1),247
,1.1558,(1 1 1),248
,1.1588,(1 1 1),249
,1.1612,(1 1 1),250
,1.1638,(1 1 1),251
,1.1664,(1 1 1),252
,1.1689,(1 1 1),253
,1.1721,(1 1 1),254
,1.1746,(1 1 1),255
,1.1772,(1 1 1),256
,1.1798,(1 1 1),257
,1.1824,(1 1 1),258
,1.185,(1 1 1),259
,1.1878,(1 1 1),260
,1.1903,(1 1 1),261
,1.1929,(1 1 1),262
,1.1958,(1 1 1),263
,1.1984,(1 1 1),264
,1.2009,(1 1 1),265
,1.2038,(1 1 1),266
,1.2074,(1 1 1),267
,1.21,(1 1 1),268
,1.2127,(1 1 1),269
,1.216,(1 1 1),270
,1.2206,(1 1 1),271
,1.2263,(1 1 1),272
,1.2299,(1 1 1),273
,1.2338,(1 1 1),274
,1.2365,(1 1 1),275
,1.2389,(1 1 1),276
,1.2413,(1 1 1),277
,1.2438,(1 1 1),278
,1.2462,(1 1 1),279
,1.2489,(1 1 1),280
,1.2514,(1 1 1),281
,1.2539,(1 1 1),282
,1.2564,(1 1 1),283
,1.2589,(1 1 1),284
,1.2614,(1 1 1),285
,1.264,(1 1 1),286
,1.2665,(1 1 1),287
,1.269,(1 1 1),288
,1.2716,(1 1 1),289
,1.274,(1 1 1),290
,1.2767,(1 1 1),291
,1.2794,(1 1 1),292
,1.2823,(1 1 1),293
,1.2852,(1 1 1),294
,1.2878,(1 1 1),295
,1.2903,(1 1 1),296
,1.2928,(1 1 1),297
,1.2952,(1 1 1),298
,1.2976,(1 1 1),299
,1.3001,(1 1 1),300
,1.3027,(1 1 1),301
,1.3051,(1 1 1),302
,1.3076,(1 1 1),303
,1.3103,(1 1 1),304
,1.313,(1 1 1),305
,1.316,(1 1 1),306
,1.3195,(1 1 1),307
,1.3221,(1 1 1),308
,1.3249,(1 1 1),309
,1.3276,(1 1 1),310
,1.3301,(1 1 1),311
,1.3328,(1 1 1),312
,1.3352,(1 1 1),313
,1.3376,(1 1 1),314
,1.3409,(1 1 1),315
,1.3436,(1 1 1),316
,1.3461,(1 1 1),317
,1.3488,(1 1 1),318
,1.3513,(1 1 1),319
,1.3536,(1 1 1),320
,1.3561,(1 1 1),321
,1.3585,(1 1 1),322
,1.3608,(1 1 1),323
,1.3635,(1 1 1),324
,1.3661,(1 1 1),325
,1.3685,(1 1 1),326
,1.3709,(1 1 1),327
,1.3733,(1 1 1),328
,1.3757,(1 1 1),329
,1.3781,(1 1 1),330
,1.3805,(1 1 1),331
,1.3832,(1 1 1),332
,1.3857,(1 1 1),333
,1.3884,(1 1 1),334
,1.3911,(1 1 1),335
,1.3938,(1 1 1),336
,1.3966,(1 1 1),337
,1.403,(1 1 1),338
,1.4071,(1 1 1),339
,1.4097,(1 1 1),340
,1.4121,(1 1 1),341
,1.4147,(1 1 1),342
,1.4176,(1 1 1),343
,1.4202,(1 1 1),344
,1.4229,(1 1 1),345
,1.4257,(1 1 1),346
,1.4284,(1 1 1),347
,1.4311,(1 1 1),348
,1.4342,(1 1 1),349
,1.4367,(1 1 1),350
,1.4393,(1 1 1),351
,1.4423,(1 1 1),352
,1.4449,(1 1 1),353
,1.4474,(1 1 1),354
,1.4501,(1 1 1),355
,1.4527,(1 1 1),356
,1.4553,(1 1 1),357
,1.4577,(1 1 1),358
,1.4601,(1 1 1),359
,1.4627,(1 1 1),360
,1.4653,(1 1 1),361
,1.4679,(1 1 1),362
,1.4704,(1 1 1),363
,1.4728,(1 1 1),364
,1.4753,(1 1 1),365
,1.4778,(1 1 1),366
,1.4803,(1 1 1),367
,1.4831,(1 1 1),368
,1.4856,(1 1 1),369
,1.4881,(1 1 1),370
,1.4932,(1 1 1),371
,1.5004,(1 1 1),372
,1.5032,(1 1 1),373
,1.5059,(1 1 1),374
,1.5085,(1 1 1),375
,1.5111,(1 1 1),376
,1.5137,(1 1 1),377
,1.5163,(1 1 1),378
,1.5189,(1 1 1),379
,1.5214,(1 1 1),380
,1.524,(1 1 1),381
,1.5266,(1 1 1),382
,1.5293,(1 1 1),383
,1.5319,(1 1 1),384
,1.5345,(1 1 1),385
,1.5372,(1 1 1),386
,1.5401,(1 1 1),387
,1.5433,(1 1 1),388
,1.5465,(1 1 1),389
,1.5491,(1 1 1),390
,1.5517,(1 1 1),391
,1.5541,(1 1 1),392
,1.5566,(1 1 1),393
,1.5599,(1 1 1),394
,1.5624,(1 1 1),395
,1.5652,(1 1 1),396
,1.5681,(1 1 1),397
,1.5706,(1 1 1),398
,1.573,(1 1 1),399
,1.5755,(1 1 1),400
,1.5781,(1 1 1),401
,1.5805,(1 1 1),402
,1.5834,(1 1 1),403
,1.5859,(1 1 1),404
,1.5886,(1 1 1),405
,1.5911,(1 1 1),406
,1.5935,(1 1 1),407
,1.5959,(1 1 1),408
,1.5985,(1 1 1),409
,1.6011,(1 1 1),410
,1.6038,(1 1 1),411
,1.6065,(1 1 1),412
,1.6092,(1 1 1),413
,1.612,(1 1 1),414
,1.6157,(1 1 1),415
,1.6183,(1 1 1),416
,1.6209,(1 1 1),417
,1.6236,(1 1 1),418
,1.626,(1 1 1),419
,1.6285,(1 1 1),420
,1.6309,(1 1 1),421
,1.6334,(1 1 1),422
,1.6358,(1 1 1),423
,1.6392,(1 1 1),424
,1.642,(1 1 1),425
,1.6448,(1 1 1),426
,1.6475,(1 1 1),427
,1.6502,(1 1 1),428
,1.6528,(1 1 1),429
,1.6554,(1 1 1),430
,1.6578,(1 1 1),431
,1.6602,(1 1 1),432
,1.663,(1 1 1),433
,1.6658,(1 1 1),434
,1.6684,(1 1 1),435
,1.671,(1 1 1),436
,1.6734,(1 1 1),437
,1.6759,(1 1 1),438
,1.6783,(1 1 1),439
,1.6808,(1 1 1),440
,1.6839,(1 1 1),441
,1.6865,(1 1 1),442
,1.6895,(1 1 1),443
,1.6925,(1 1 1),444
,1.6955,(1 1 1),445
,1.6983,(1 1 1),446
,1.7013,(1 1 1),447
,1.7045,(1 1 1),448
,1.7074,(1 1 1),449
,1.7106,(1 1 1),450
,1.7136,(1 1 1),451
,1.7171,(1 1 1),452
,1.7203,(1 1 1),453
,1.7238,(1 1 1),454
,1.7277,(1 1 1),455
,1.7309,(1 1 1),456
,1.7343,(1 1 1),457
,1.7374,(1 1 1),458
,1.7403,(1 1 1),459
,1.7434,(1 1 1),460
,1.7464,(1 1 1),461
,1.75,(1 1 1),462
,1.7534,(1 1 1),463
,1.7577,(1 1 1),464
,1.7612,(1 1 1),465
,1.7652,(1 1 1),466
,1.7683,(1 1 1),467
,1.7728,(1 1 1),468
,1.7779,(1 1 1),469
,1.7838,(1 1 1),470
,1.7885,(1 1 1),471
,1.7914,(1 1 1),472
,1.7947,(1 1 1),473
,1.7982,(1 1 1),474
,1.8012,(1 1 1),475
,1.8042,(1 1 1),476
,1.8072,(1 1 1),477
,1.8101,(1 1 1),478
,1.8131,(1 1 1),479
,1.8162,(1 1 1),480
,1.8193,(1 1 1),481
,1.8224,(1 1 1),482
,1.8254,(1 1 1),483
,1.8284,(1 1 1),484
,1.8316,(1 1 1),485
,1.8354,(1 1 1),486
,1.8387,(1 1 1),487
,1.8438,(1 1 1),488
,1.8495,(1 1 1),489
,1.8524,(1 1 1),490
,1.8555,(1 1 1),491
,1.8585,(1 1 1),492
,1.8616,(1 1 1),493
,1.8657,(1 1 1),494
,1.8695,(1 1 1),495
,1.8737,(1 1 1),496
,1.8784,(1 1 1),497
,1.8847,(1 1 1),498
,1.8893,(1 1 1),499
,1.8926,(1 1 1),500
,1.8955,(1 1 1),501
,1.9002,(1 1 1),502
,1.9029,(1 1 1),503
,1.906,(1 1 1),504
,1.9084,(1 1 1),505
,1.9111,(1 1 1),506
,1.9139,(1 1 1),507
,1.9168,(1 1 1),508
,1.9192,(1 1 1),509
,1.9221,(1 1 1),510
,1.9251,(1 1 1),511
,1.9277,(1 1 1),512
,1.9309,(1 1 1),513
,1.9339,(1 1 1),514
,1.9371,(1 1 1),515
,1.9399,(1 1 1),516
,1.9435,(1 1 1),517
,1.9471,(1 1 1),518
,1.9505,(1 1 1),519
,1.9533,(1 1 1),520
,1.9562,(1 1 1),521
,1.9587,(1 1 1),522
,1.9613,(1 1 1),523
,1.9643,(1 1 1),524
,1.9676,(1 1 1),525
,1.9701,(1 1 1),526
,1.9728,(1 1 1),527
,1.9754,(1 1 1),528
,1.9782,(1 1 1),529
,1.9812,(1 1 1),530
,1.9839,(1 1 1),531
,1.9864,(1 1 1),532
,1.9888,(1 1 1),533
,1.9911,(1 1 1),534
,1.9934,(1 1 1),535
,1.996,(1 1 1),536
,1.9988,(1 1 1),537
,2.0016,(1 1 1),538
,2.005,(1 1 1),539
,2.0076,(1 1 1),540
,2.0101,(1 1 1),541
,2.0125,(1 1 1),542
,2.0148,(1 1 1),543
,2.0174,(1 1 1),544
,2.0199,(1 1 1),545
,2.0222,(1 1 1),546
,2.0247,(1 1 1),547
,2.0272,(1 1 1),548
,2.0297,(1 1 1),549
,2.0321,(1 1 1),550
,2.0347,(1 1 1),551
,2.0371,(1 1 1),552
,2.0395,(1 1 1),553
,2.0426,(1 1 1),554
,2.0454,(1 1 1),555
,2.0486,(1 1 1),556
,2.0514,(1 1 1),557
,2.0549,(1 1 1),558
,2.0582,(1 1 1),559
,2.061,(1 1 1),560
,2.0643,(1 1 1),561
,2.0672,(1 1 1),562
,2.0704,(1 1 1),563
,2.0732,(1 1 1),564
,2.076,(1 1 1),565
,2.0793,(1 1 1),566
,2.0828,(1 1 1),567
,2.0865,(1 1 1),568
,2.089,(1 1 1),569
,2.0916,(1 1 1),570
,2.0941,(1 1 1),571
,2.0966,(1 1 1),572
,2.0993,(1 1 1),573
,2.1019,(1 1 1),574
,2.1044,(1 1 1),575
,2.107,(1 1 1),576
,2.1098,(1 1 1),577
,2.1124,(1 1 1),578
,2.1149,(1 1 1),579
,2.1174,(1 1 1),580
,2.1198,(1 1 1),581
,2.1222,(1 1 1),582
,2.1248,(1 1 1),583
,2.1272,(1 1 1),584
,2.1295,(1 1 1),585
,2.1319,(1 1 1),586
,2.1345,(1 1 1),587
,2.137,(1 1 1),588
,2.1395,(1 1 1),589
,2.1418,(1 1 1),590
,2.1445,(1 1 1),591
,2.147,(1 1 1),592
,2.1496,(1 1 1),593
,2.152,(1 1 1),594
,2.1546,(1 1 1),595
,2.1574,(1 1 1),596
,2.1608,(1 1 1),597
,2.1635,(1 1 1),598
,2.1662,(1 1 1),599
,2.1688,(1 1 1),600
,2.1713,(1 1 1),601
,2.1738,(1 1 1),602
,2.1761,(1 1 1),603
,2.1785,(1 1 1),604
,2.181,(1 1 1),605
,2.1838,(1 1 1),606
,2.1863,(1 1 1),607
,2.1889,(1 1 1),608
,2.1915,(1 1 1),609
,2.1944,(1 1 1),610
,2.1969,(1 1 1),611
,2.1997,(1 1 1),612
,2.2024,(1 1 1),613
,2.2114,(1 1 1),614
,2.2163,(1 1 1),615
,2.2189,(1 1 1),616
,2.2212,(1 1 1),617
,2.2237,(1 1 1),618
,2.226,(1 1 1),619
,2.2283,(1 1 1),620
,2.2308,(1 1 1),621
,2.2334,(1 1 1),622
,2.2358,(1 1 1),623
,2.2381,(1 1 1),624
,2.2407,(1 1 1),625
,2.2432,(1 1 1),626
,2.2454,(1 1 1),627
,2.2478,(1 1 1),628
,2.2502,(1 1 1),629
,2.2525,(1 1 1),630
,2.2548,(1 1 1),631
,2.2572,(1 1 1),632
,2.2595,(1 1 1),633
,2.2619,(1 1 1),634
,2.2645,(1 1 1),635
,2.2671,(1 1 1),636
,2.2696,(1 1 1),637
,2.2721,(1 1 1),638
,2.2749,(1 1 1),639
,2.2775,(1 1 1),640
,2.2799,(1 1 1),641
,2.2824,(1 1 1),642
,2.285,(1 1 1),643
,2.2873,(1 1 1),644
,2.2932,(1 1 1),645
,2.2991,(1 1 1),646
,2.3019,(1 1 1),647
,2.3047,(1 1 1),648
,2.3075,(1 1 1),649
,2.3099,(1 1 1),650
,2.3121,(1 1 1),651
,2.3144,(1 1 1),652
,2.3168,(1 1 1),653
,2.3192,(1 1 1),654
,2.3216,(1 1 1),655
,2.3243,(1 1 1),656
,2.3268,(1 1 1),657
,2.3291,(1 1 1),658
,2.3314,(1 1 1),659
,2.3339,(1 1 1),660
,2.3363,(1 1 1),661
,2.3387,(1 1 1),662
,2.3409,(1 1 1),663
,2.3434,(1 1 1),664
,2.3456,(1 1 1),665
,2.348,(1 1 1),666
,2.3505,(1 1 1),667
,2.3528,(1 1 1),668
,2.3552,(1 1 1),669
,2.3576,(1 1 1),670
,2.3598,(1 1 1),671
,2.3621,(1 1 1),672
,2.3646,(1 1 1),673
,2.3671,(1 1 1),674
,2.3694,(1 1 1),675
,2.3725,(1 1 1),676
,2.3763,(1 1 1),677
,2.379,(1 1 1),678
,2.3815,(1 1 1),679
,2.3851,(1 1 1),680
,2.3876,(1 1 1),681
,2.3899,(1 1 1),682
,2.3921,(1 1 1),683
,2.3944,(1 1 1),684
,2.3967,(1 1 1),685
,2.399,(1 1 1),686
,2.4015,(1 1 1),687
,2.4042,(1 1 1),688
,2.4066,(1 1 1),689
,2.409,(1 1 1),690
,2.4114,(1 1 1),691
,2.4138,(1 1 1),692
,2.4163,(1 1 1),693
,2.4188,(1 1 1),694
,2.4212,(1 1 1),695
,2.4236,(1 1 1),696
,2.4259,(1 1 1),697
,2.4281,(1 1 1),698
,2.4304,(1 1 1),699
,2.4328,(1 1 1),700
,2.4359,(1 1 1),701
,2.4389,(1 1 1),702
,2.442,(1 1 1),703
,2.4449,(1 1 1),704
,2.4472,(1 1 1),705
,2.4499,(1 1 1),706
,2.4524,(1 1 1),707
,2.4547,(1 1 1),708
,2.4571,(1 1 1),709
,2.4594,(1 1 1),710
,2.4617,(1 1 1),711
,2.4641,(1 1 1),712
,2.4668,(1 1 1),713
,2.4692,(1 1 1),714
,2.4715,(1 1 1),715
,2.4739,(1 1 1),716
,2.4762,(1 1 1),717
,2.4784,(1 1 1),718
,2.4807,(1 1 1),719
,2.4837,(1 1 1),720
,2.4862,(1 1 1),721
,2.4886,(1 1 1),722
,2.492,(1 1 1),723
,2.4944,(1 1 1),724
,2.4968,(1 1 1),725
,2.4993,(1 1 1),726
,2.5018,(1 1 1),727
,2.5043,(1 1 1),728
,2.5067,(1 1 1),729
,2.509,(1 1 1),730
,2.5113,(1 1 1),731
,2.5135,(1 1 1),732
,2.5162,(1 1 1),733
,2.5188,(1 1 1),734
,2.5215,(1 1 1),735
,2.5243,(1 1 1),736
,2.5267,(1 1 1),737
,2.529,(1 1 1),738
,2.5313,(1 1 1),739
,2.5338,(1 1 1),740
,2.5361,(1 1 1),741
,2.5385,(1 1 1),742
,2.5409,(1 1 1),743
,2.5435,(1 1 1),744
,2.546,(1 1 1),745
,2.5486,(1 1 1),746
,2.5523,(1 1 1),747
,2.556,(1 1 1),748
,2.559,(1 1 1),749
,2.5627,(1 1 1),750
,2.5667,(1 1 1),751
,2.5699,(1 1 1),752
,2.5727,(1 1 1),753
,2.5757,(1 1 1),754
,2.5788,(1 1 1),755
,2.5818,(1 1 1),756
,2.5852,(1 1 1),757
,2.588,(1 1 1),758
,2.5913,(1 1 1),759
,2.5945,(1 1 1),760
,2.5982,(1 1 1),761
,2.6029,(1 1 1),762
,2.6065,(1 1 1),763
,2.6116,(1 1 1),764
,2.6145,(1 1 1),765
,2.6176,(1 1 1),766
,2.6204,(1 1 1),767
,2.6236,(1 1 1),768
,2.6283,(1 1 1),769
,2.6357,(1 1 1),770
,2.6395,(1 1 1),771
,2.6425,(1 1 1),772
,2.6463,(1 1 1),773
,2.6493,(1 1 1),774
,2.6524,(1 1 1),775
,2.6553,(1 1 1),776
,2.6591,(1 1 1),777
,2.6623,(1 1 1),778
,2.6652,(1 1 1),779
,2.6682,(1 1 1),780
,2.6711,(1 1 1),781
,2.6754,(1 1 1),782
,2.6784,(1 1 1),783
,2.6813,(1 1 1),784
,2.6846,(1 1 1),785
,2.6875,(1 1 1),786
,2.691,(1 1 1),787
,2.694,(1 1 1),788
,2.6971,(1 1 1),789
,2.7002,(1 1 1),790
,2.7033,(1 1 1),791
,2.7066,(1 1 1),792
,2.7101,(1 1 1),793
,2.7137,(1 1 1),794
,2.7175,(1 1 1),795
,2.7223,(1 1 1),796
,2.7254,(1 1 1),797
,2.7282,(1 1 1),798
,2.7311,(1 1 1),799
,2.7341,(1 1 1),800
,2.7375,(1 1 1),801
,2.7404,(1 1 1),802
,2.7441,(1 1 1),803
,2.7472,(1 1 1),804
,2.7505,(1 1 1),805
,2.7542,(1 1 1),806
,2.7571,(1 1 1),807
,2.76,(1 1 1),808
,2.7633,(1 1 1),809
,2.7666,(1 1 1),810
,2.7704,(1 1 1),811
,2.776,(1 1 1),812
,2.78,(1 1 1),813
,2.7865,(1 1 1),814
,2.7896,(1 1 1),815
,2.7927,(1 1 1),816
,2.7955,(1 1 1),817
,2.7985,(1 1 1),818
,2.8022,(1 1 1),819
,2.8053,(1 1 1),820
,2.808,(1 1 1),821
,2.8114,(1 1 1),822
,2.8154,(1 1 1),823
,2.8346,(1 1 1),824
,2.858,(1 1 1),825
,2.8611,(1 1 1),826
,2.8638,(1 1 1),827
,2.8676,(1 1 1),828
,2.8701,(1 1 1),829
,2.8723,(1 1 1),830
,2.8747,(1 1 1),831
,2.8771,(1 1 1),832
,2.8795,(1 1 1),833
,2.8819,(1 1 1),834
,2.8846,(1 1 1),835
,2.8876,(1 1 1),836
,2.8906,(1 1 1),837
,2.8934,(1 1 1),838
,2.8965,(1 1 1),839
,2.8995,(1 1 1),840
,2.9026,(1 1 1),841
,2.9058,(1 1 1),842
,2.9083,(1 1 1),843
,2.911,(1 1 1),844
,2.9133,(1 1 1),845
,2.9162,(1 1 1),846
,2.9196,(1 1 1),847
,2.9221,(1 1 1),848
,2.9248,(1 1 1),849
,2.9279,(1 1 1),850
,2.9307,(1 1 1),851
,2.9341,(1 1 1),852
,2.9366,(1 1 1),853
,2.9397,(1 1 1),854
,2.9421,(1 1 1),855
,2.9449,(1 1 1),856
,2.9479,(1 1 1),857
,2.9511,(1 1 1),858
,2.9545,(1 1 1),859
,2.9576,(1 1 1),860
,2.9608,(1 1 1),861
,2.9652,(1 1 1),862
,2.9686,(1 1 1),863
,2.9716,(1 1 1),864
,2.9744,(1 1 1),865
,2.9769,(1 1 1),866
,2.9797,(1 1 1),867
,2.9826,(1 1 1),868
,2.9856,(1 1 1),869
,2.9883,(1 1 1),870
,2.9908,(1 1 1),871
,2.9937,(1 1 1),872
,2.9962,(1 1 1),873
,2.9994,(1 1 1),874
,3.0025,(1 1 1),875
,3.0051,(1 1 1),876
,3.0083,(1 1 1),877
,3.0112,(1 1 1),878
,3.0138,(1 1 1),879
,3.0169,(1 1 1),880
,3.0195,(1 1 1),881
,3.0224,(1 1 1),882
,3.0254,(1 1 1),883
,3.0283,(1 1 1),884
,3.0312,(1 1 1),885
,3.0342,(1 1 1),886
,3.0376,(1 1 1),887
,3.0408,(1 1 1),888
,3.0435,(1 1 1),889
,3.046,(1 1 1),890
,3.049,(1 1 1),891
,3.0523,(1 1 1),892
,3.0547,(1 1 1),893
,3.0577,(1 1 1),894
,3.0619,(1 1 1),895
,3.0648,(1 1 1),896
,3.0685,(1 1 1),897
,3.0738,(1 1 1),898
,3.0773,(1 1 1),899
,3.0812,(1 1 1),900
,3.0846,(1 1 1),901
,3.0875,(1 1 1),902
,3.0904,(1 1 1),903
,3.0933,(1 1 1),904
,3.0971,(1 1 1),905
,3.116,(1 1 1),906
,3.1332,(1 1 1),907
,3.1358,(1 1 1),908
,3.1382,(1 1 1),909
,3.1405,(1 1 1),910
,3.1434,(1 1 1),911
,3.1459,(1 1 1),912
,3.1484,(1 1 1),913
,3.151,(1 1 1),914
,3.1535,(1 1 1),915
,3.156,(1 1 1),916
,3.1583,(1 1 1),917
,3.1607,(1 1 1),918
,3.1633,(1 1 1),919
,3.1656,(1 1 1),920
,3.168,(1 1 1),921
,3.1703,(1 1 1),922
,3.1725,(1 1 1),923
,3.1748,(1 1 1),924
,3.1773,(1 1 1),925
,3.1797,(1 1 1),926
,3.1821,(1 1 1),927
,3.1921,(1 1 1),928
,3.1952,(1 1 1),929
,3.199,(1 1 1),930
,3.202,(1 1 1),931
